Metric_Category,Month_01,Month_03,Month_06,Month_12,Month_18,Month_24
Monthly Active Customers,15,45,120,380,850,1600
Average Revenue Per User (ARPU) $,250,250,265,280,295,310
Monthly Recurring Revenue (MRR) $,3750,11250,31800,106400,250750,496000
Customer Acquisition Cost (CAC) $,420,380,340,290,260,240
Customer Lifetime Value (LTV) $,3750,3750,4240,4760,5310,5890
LTV / CAC Ratio,8.9x,9.8x,12.4x,16.4x,20.4x,24.5x
Gross Margin %,78%,80%,82%,84%,85%,86%
Total Headcount,3,4,6,9,14,18
Monthly Gross Burn $,28000,34000,48000,72000,115000,152000
Net Cash Flow $,-24250,-22750,-16200,34400,135750,344000
Cash Runway Balance $,750000,679500,582400,432000,642000,1210000
